IC50,Cancer,Drug,PKA_137_POL_X_Fingerprint_576,EXP_BRD4_X_EXP_MYC,EXP_BRD4_X_EXP_NUMA1,EXP_IRAK3_X_EXP_IL1RAP,EXP_MAP2K7_X_EXP_PIK3CG,Predicted IC50,Validation
6.535641,930298,230,0,53.548462103,32.261758846,18.211828114,11.407227195,4.3029055314,4
4.211695,1240212,230,0.3,53.078990442,35.290054041,11.791803995,13.040814464,2.4023582438,7
4.514197,1298134,230,0,61.640784461,36.02603409,11.504159524,13.234659277,2.6708874579,6
5.018851,687505,231,0,65.371679042,34.58928315,9.7083996281,14.675089467,1.9125658594,10
5.903323,687506,231,0,59.117976019,34.530745112,13.83750445,11.895041789,3.1913459761,4
4.585315,906824,231,0,67.4144993,40.018278184,11.497666944,14.487923201,1.5152192999,3
5.094432,906843,231,0,67.36996948,33.681930667,12.839859693,13.417610905,2.4330848826,9
5.534824,907068,231,0,66.465517602,35.487811896,13.820833047,12.999983849,2.9191978823,1
6.244813,930297,231,0,47.802494887,34.755374895,19.154756444,12.104093275,4.1152606738,8
6.547242,930298,231,0,53.548462103,32.261758846,18.211828114,11.407227195,4.3029055314,5
4.382175,1240212,231,0,53.078990442,35.290054041,11.791803995,13.040814464,2.8049043971,1
5.311457,1298134,231,0,61.640784461,36.02603409,11.504159524,13.234659277,2.6708874579,10
0.696496,687505,235,0,65.371679042,34.58928315,9.7083996281,14.675089467,1.9125658594,5
4.864941,687506,235,0,59.117976019,34.530745112,13.83750445,11.895041789,3.1913459761,2
5.079266,724839,235,-1.4,46.246534785,32.952153584,15.868346125,12.638631606,3.8002742137,4
-0.896322,906824,235,0,67.4144993,40.018278184,11.497666944,14.487923201,1.5152192999,1
1.336834,906843,235,0,67.36996948,33.681930667,12.839859693,13.417610905,2.4330848826,5
0.517151,907068,235,0,66.465517602,35.487811896,13.820833047,12.999983849,2.9191978823,6
3.187693,930297,235,0,47.802494887,34.755374895,19.154756444,12.104093275,4.1152606738,2
5.800311,930298,235,0,53.548462103,32.261758846,18.211828114,11.407227195,4.3029055314,6
